"Marca temporal","a) De favor, me podría ayudar con que la última persona que cumplió años en su hogar sea quien conteste la encuesta. ","b)	¿Vive usted en esta casa?","c)	¿Cuenta con credencial de lector vigente domiciliaria con esta vivienda?","d)	Me podría decir su edad, de favor ","e)	Anotar sexo sin preguntar","1.	Pensando en cómo se ha sentido en la última semana, ¿qué emoción describe mejor su estado de ánimo?","2.	¿Qué tan seguro está de asistir a votar en las próximas elecciones del 6 de junio?","3.	Si en las próximas elecciones para Presidente Municipal de Tuxtla Gutiérrez los candidatos fueran los siguientes, ¿por quién votaría usted?","4.	Independientemente de por quién ha votado en pasadas elecciones, ¿actualmente con cuál partido se siente usted más identificado? ","5.	¿Cuál es el servicio público que más ha mejorado en su colonia durante los últimos tres años?","6.	¿Cuál es el servicio público que más ha empeorado en su colonia durante los últimos tres años?","7.	En general, ¿usted aprueba o desaprueba la forma en que el presidente Andrés Manuel López Obrador realiza su trabajo?","8.	En general, ¿usted aprueba o desaprueba la forma en que su presidente municipal Carlos Morales realiza su trabajo? ","¿Cuál es su estado civil?","¿Cuál es su último grado de estudios concluido?","¿Cuál es su principal ocupación?","En total y contándose usted, ¿cuántas personas viven en su casa?","Número de equipo","Número del encuestador","Nombre del encuestador","Sección","Manzana","Persona"
"2021/04/15 8:42:14 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","b) Aburrido","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","d) MORENA","b) Recolección de basura","g) Pavimentación de calles","b) Aprueba poco","a) Aprueba mucho","a) Soltero","d) Preparatoria","g) Desempleado y busca trabajo","d) 4","3","13","Luis","1738","23","5"
"2021/04/15 8:42:20 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","d) Desaprueba mucho","a) Soltero","e) Licenciatura","h) Empleado en el sector público","b) 2","3","11","Alejandra","1738","23","1"
"2021/04/15 8:42:26 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","d) Desaprueba mucho","a) Soltero","e) Licenciatura","h) Empleado en el sector público","b) 2","3","11","Alejandra","1738","23","1"
"2021/04/15 8:42:35 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","d) Desaprueba mucho","a) Soltero","e) Licenciatura","h) Empleado en el sector público","b) 2","3","11","Alejandra","1738","23","1"
"2021/04/15 8:42:38 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","d) Desaprueba mucho","a) Soltero","e) Licenciatura","h) Empleado en el sector público","b) 2","3","11","Alejandra","1738","23","1"
"2021/04/15 8:43:14 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","c) Carlos Morales, por MORENA","h) Ninguno (No leer)","c) Alumbrado público","e) Agua potable","c) Desaprueba poco","b) Aprueba poco","b) Casado","c) Secundaria","b) Ama de casa y trabaja","c) 3","3","14","Leo","1738","23","7"
"2021/04/15 8:48:28 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","f) 65 años o más","b) Mujer","d) Preocupado","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","f) Partido Verde","g) Pavimentación de calles","e) Agua potable","a) Aprueba mucho","a) Aprueba mucho","b) Casado","a) No estudió","a) Ama de casa","b) 2","3","12","Erick","1738","23","3"
"2021/04/15 8:49:00 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","f) 65 años o más","a) Hombre","a) Feliz","c) Estoy seguro que iré a votar","c) Carlos Morales, por MORENA","d) MORENA","g) Pavimentación de calles","g) Pavimentación de calles","a) Aprueba mucho","b) Aprueba poco","a) Soltero","b) Primaria","k) Campesino","e) 5","3","11","Alejandra","1738","23","2"
"2021/04/15 8:49:45 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","h) Estresado","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","i) No sabe / No contesta (No leer)","b) Recolección de basura","e) Agua potable","99) No sabe / No contesta (No leer)","99) No sabe / No contesta (No leer)","e) Viudo","c) Secundaria","a) Ama de casa","d) 4","3","13","Luis","1738","23","6"
"2021/04/15 9:03:57 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","a) No iré a votar","a) Jorge Martínez, por el Partido Verde","d) MORENA","g) Pavimentación de calles","e) Agua potable","b) Aprueba poco","a) Aprueba mucho","b) Casado","b) Primaria","a) Ama de casa","g) 7","3","15","Carlos","1738","23","4"
