SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1742,-93.06289476197908,16.70214280070952,0.14027719445611087,0.30638387232255354,0.08315833683326333,periferia oriente sur,0.16610667786644268,4762,1,1,1,1,Periferia sur oriente
1746,-93.12248641515839,16.706517629893778,0.21993335352923357,0.27809754619812177,0.09391093607997576,periferia oriente sur,0.0581641926688882,3301,1,1,1,1,Periferia sur oriente
1745,-93.11696600329577,16.714719701576495,0.1849476881538981,0.21059736753290584,0.07931150860614242,periferia oriente sur,0.02564967937900775,2963,1,1,1,1,Periferia sur oriente
1747,-93.12145555981665,16.693752327138675,0.16588875923765073,0.2547646830027227,0.10035005834305717,periferia oriente sur,0.08887592376507197,5142,1,1,1,1,Periferia sur oriente
1748,-93.19061029627927,16.68637866648891,0.21525423728813559,0.22033898305084745,0.05520581113801453,periferia poniente sur,0.0050847457627118675,4130,2,2,2,4,Periferia sur poniente
1749,-93.1665948688515,16.783765735845282,0.3235766553631983,0.25397108691772263,0.05229341424237016,periferia poniente norte,-0.06960556844547566,5603,3,3,3,6,Centro poniente
1739,-93.2097193029198,16.7480669369007,0.16150603285361245,0.23331879633667685,0.06221834568978049,periferia poniente norte,0.0718127634830644,6879,4,2,4,4,Periferia sur poniente
1753,-93.1725590484986,16.73983821880299,0.0763888888888889,0.2638888888888889,0.34375,periferia poniente sur,0.1875,288,4,2,4,4,Periferia sur poniente
1738,-93.17829284676434,16.742981570353113,0.1577192397465822,0.2720906968989663,0.06768922974324774,periferia poniente norte,0.11437145715238412,2999,4,2,4,4,Periferia sur poniente
1736,-93.15473206519606,16.733076536549085,0.20905520905520905,0.22953722953722955,0.06706706706706707,periferia poniente sur,0.020482020482020497,12987,5,3,4,4,Periferia sur poniente
1735,-93.13615791516692,16.735035253828116,0.20305220883534136,0.2782329317269076,0.06152610441767068,periferia poniente sur,0.07518072289156624,6225,5,3,1,1,Periferia sur oriente
1706,-93.15779372675118,16.748794635501575,0.24974619289340103,0.2578680203045685,0.07817258883248732,periferia poniente sur,0.008121827411167487,2955,4,3,3,6,Centro poniente
1673,-93.15087226530673,16.755225051480707,0.3898930284028034,0.15750645518258946,0.06418295831796385,centro poniente sur,-0.23238657322021392,2711,4,3,3,6,Centro poniente
1703,-93.18042073786535,16.75009740954189,0.14924554183813443,0.2812071330589849,0.07242798353909465,periferia poniente norte,0.1319615912208505,3645,4,2,4,4,Periferia sur poniente
